slug,term,code,opus,sonnet,detector,tier,severity,explanation
developed-oil-and-gas-reserves,Developed Oil and Gas Reserves,POINTER,True,True,True,both models,2,"The entry defines nothing itself and only refers to the SEC rule text reproduced in the Codification. The target paragraph exists, so the reader can still resolve the term."
development-costs,Development Costs,POINTER,True,True,True,both models,2,"This is a pointer-only entry that refers to the Regulation S-X text in the S99 paragraph. The target exists, so the defect is only minor."
dilution,dilution,UNDEF,False,True,False,one model,1,"EPS is used as an undefined abbreviation, though it is a widely understood term (earnings per share) elsewhere defined by related entries, so this is minor."
direct-financing-lease,Direct Financing Lease,CIRC,True,True,True,both models,2,"The lessor-side definitions form a loop: operating lease is defined as any lease other than a sales-type or direct financing lease, while direct financing lease is defined partly as not being an operating lease. The loop can only be broken by reading paragraph 842-10-25-3A."
direct-financing-lease,Direct Financing Lease,HOMONYM,True,True,True,both models,2,"A second entry with the same name exists. It only states that it is superseded, which mostly signals which entry applies, so the confusion is minor."
direct-financing-leases,direct financing lease,CIRC,False,True,True,one model,1,"Even though superseded, the entry's cycle partners (operating lease, sales-type lease) still reference it, indicating a residual circular dependency in the glossary graph."
direct-financing-leases,direct financing lease,HOMONYM,True,True,True,both models,2,"This entry shares its name with the current Direct Financing Lease entry, which carries a different definition."
direct-financing-leases,direct financing lease,STALE,True,True,True,both models,3,"The entry contains only a supersession notice and gives no definition. Yet current Topic 842 paragraphs (842-10-15-3C, 842-10-25-15) link to it rather than to the current entry."
discount,discount,POINTER,False,True,False,one model,1,"A supplementary cross-reference appended to a substantive definition; not pointer-only since the entry itself defines discount, so this is a minor stylistic note rather than a true POINTER defect."
discount-rate,Discount Rate,CIRC,True,True,True,both models,2,"Discount rate refers to present value, which is defined using a discount rate. The first sentence ('rate or rates used to reflect the time value of money') stands on its own, so the cycle is weak."
discount-rate-adjustment-technique,discount rate adjustment technique,CIRC,True,True,True,both models,2,"This entry depends on present value and discount rate, which refer to each other. The entry is still usable because both partners can be understood independently."
discount-rate-for-the-lease,Discount Rate for the Lease,INCONS,True,False,False,one model,2,Topic 842 lets lessees that are not public business entities elect a risk-free rate (842-20-30-3). The definition's mandatory wording conflicts with that election.
disposal,disposal,INCONS,True,False,False,one model,2,"The entry defines only the environmental-statute meaning. The Codification uses 'disposal' generically, for example disposal of long-lived assets and 'environmentally sound disposal' in 410-20-55-23, and the entry does not limit its scope."
disposal,disposal,MALFORMED,True,False,False,one model,1,The closing sentence is a fragment that leaves the CERCLA meaning implied rather than stated.
distributor,distributor,NONAUTH,False,True,False,one model,2,"The definition relies on an external federal statute (Investment Company Act of 1940) rather than authoritative GAAP for the meaning of 'underwriter', which is a nonauthoritative dependence relative to the Codification."
dividend-fund-interest-rate,dividend fund interest rate,UNDEF,True,False,False,one model,1,"No glossary entry defines 'dividend fund', yet the definition relies on it."
dividends,dividends,SELF,True,False,False,one model,1,The term is defined by restating itself. The entry adds content only by listing the forms of payment and excluding stock dividends and splits. The underlying concept of a dividend is not defined.
donor-restricted-endowment-fund,Donor-Restricted Endowment Fund,CIRC,True,True,True,both models,2,"This entry is part of a reference cycle with endowment fund and board-designated endowment fund. The Endowment Fund definition is substantively self-contained, so the cycle does not block understanding."
economic-interest,Economic Interest,DANGLING,False,True,True,one model,2,The entry points to paragraph 958-810-55-6 for examples; this paragraph is not confirmed to exist in the current authoritative text and the detector flagged it as a dangling pointer.
economic-interest-in-an-entity,economic interest in the entity,MALFORMED,False,True,False,one model,1,The entry key uses 'an entity' while the term name uses 'the entity'; a minor naming inconsistency but not substantively confusing.
effective-interest-rate,Effective Interest Rate,INCONS,True,False,False,one model,2,"The definition is limited to financial assets held, yet it is linked from Topic 230 cash flow paragraphs (financing and operating outflows) that apply the effective interest rate to the issuer's own debt. The asset-only wording does not fit that use."
effective-notional-amount,effective notional amount,UNDEF,True,False,False,one model,1,'Leverage factor' and 'stated notional amount' are not defined in the glossary. Their meaning is reasonably clear from context in Topic 815.
electronic-ticket,electronic tickets,MALFORMED,True,True,False,both models,1,"The noun 'ticket' is missing from the opening phrase ('An electronic ticket (or e-ticket)'). This is a wording defect in the text itself, not a missing space. The meaning remains clear."
embedded-credit-derivative,Embedded Credit Derivative,UNDEF,False,True,False,one model,2,"The definition relies on the term 'credit derivative,' which is not itself defined in the Master Glossary among the provided entries, leaving a key concept unexplained."
employee,employee,HOMONYM,True,False,False,one model,2,"The Master Glossary has other entries named 'employee', including the Topic 718 common-law control definition. This entry gives no indication of which subtopics it governs, yet it is linked from 9 subtopics."
employee,employee,UNDEF,True,False,False,one model,1,"The definition turns entirely on 'service', which it does not qualify (for example, service to whom). The definition is therefore very thin."
employee-compensation,Employee Compensation,PENDING,False,True,True,one model,1,"Both transition markers show the same date and the definition text that follows is a single coherent version, so there is no actual conflicting current/pending content despite the marker."
employee-stock-ownership-plan,Employee Stock Ownership Plan,NONAUTH,False,True,False,one model,2,"The definition anchors the meaning of the term to federal statutes (ERISA, IRC) rather than to authoritative GAAP sources, making the definition dependent on nonauthoritative (non-Codification) law."
endowment-contract,Endowment contracts,MALFORMED,True,False,False,one model,1,"The entry name is plural, but the definition defines a single contract ('An insurance contract')."
endowment-fund,Endowment Fund,CIRC,False,True,True,one model,2,"Endowment Fund, Donor-Restricted Endowment Fund, Board-Designated Endowment Fund, and Funds Functioning as Endowment all define each other in a closed loop, so full understanding of any one requires the others, forming a strongly connected cycle."
enhanced-12b-1-plan,enhanced 12b-1 plan,UNDEF,False,True,False,one model,2,"The definition depends on the term 'reimbursement 12b-1 plan,' which is not itself defined among the supplied glossary entries, leaving a technical term unexplained."
environmental-credit,Environmental Credit,CIRC,True,True,True,both models,2,"One fallback criterion relies on 'environmental credit obligation', which is itself defined as an obligation 'that may be settled with environmental credits'. The loop is confined to items that are no longer transferable, so the core definition can still be applied."
environmental-credit-obligation,Environmental Credit Obligation,CIRC,True,True,True,both models,2,"The definition depends on 'environmental credit', and that entry points back to this one in its non-transferability criterion. The cycle is limited and can be resolved through the credit entry's other criteria. The DANGLING flag is a false positive because Subtopic 410-30 exists."
equity-kicker,equity kicker,POINTER,True,True,True,both models,2,"This is a synonym pointer that defines nothing itself. The target entry has content and names equity kicker as an alternative label, so the mutual mention is not a real circularity."
equity-shares,equity shares,SELF,False,True,False,one model,2,"The definition uses the word 'equity' to define 'equity shares' without adding substantive content beyond the term itself, making it tautological."
executive-officers,executive officers,POINTER,True,True,True,both models,2,"The entry gives no definition of its own and only refers to the SEC material. The target paragraph exists: it appears among the linking paragraphs as 942-210-S99-1. The DANGLING flag is therefore a false positive, and the pointer is usable."
exercise-price,exercise price,INCONS,True,False,False,one model,2,"The definition limits exercise price to the amount paid for a share of common stock. Paragraph 260-10-55-6, which links to this entry, applies the term to options and warrants that purchase convertible securities, not common stock."
expected-losses,expected losses,CIRC,True,True,True,both models,2,"Expected losses are measured excluding variable interests, while variable interests are defined as interests that absorb expected losses or receive expected residual returns. Each definition needs the other to be understood, so this is a genuine cycle. Implementation guidance in Subtopic 810-10 is needed to break it."
expected-losses-and-expected-residual-returns,Expected Losses and Expected Residual Returns,NONAUTH,True,True,True,both models,2,"The current version grounds the measure in a Concepts Statement, which is nonauthoritative under Topic 105. The glossary term Expected Cash Flow partly mitigates this."
expected-losses-and-expected-residual-returns,Expected Losses and Expected Residual Returns,PENDING,True,True,True,both models,2,The current and pending versions are concatenated and differ. The pending version drops the Concepts Statement reference and adds references to illustrations in 810-10-55-42 through 55-49.
expected-residual-profit,expected residual profit,CIRC,False,True,True,one model,1,"The detector flags a cycle with 'equity kicker,' but that entry is merely a pointer synonym example within this definition, not a mutual dependency required to understand expected residual profit; this is a likely false positive rather than genuine circularity."
expected-residual-returns,expected residual returns,CIRC,True,True,True,both models,2,"This definition excludes variable interests, which are themselves defined by reference to expected residual returns and expected losses. That makes a genuine mutual dependency."
expected-return-on-plan-assets,Expected Return on Plan Assets,CIRC,False,True,True,one model,2,"This entry and market-related-value-of-plan-assets define each other (expected return depends on market-related value, and market-related value entry is described as 'used to calculate the expected return on plan assets'), creating a genuine circular dependency."
exploration-costs,exploration costs,POINTER,True,True,True,both models,2,"The entry defines nothing itself. It only refers to the SEC rule text reproduced in the Codification. The target exists, so the entry is still usable."
extended-warranty,extended warranty,STALE,True,False,False,one model,1,"The term is used in Subtopic 605-20, which ASU 2014-09 largely superseded. The definition itself is intact, but its remaining use sits in legacy revenue guidance."
face-amount,face amount,POINTER,True,True,True,both models,2,"The entry is a synonym pointer only. The target entry exists and defines the concept, and it mentions 'face amount' merely as an alternative name. Understanding it does not require this entry, so the flagged cycle is not a genuine CIRC."
fair-value,Fair Value,CIRC,False,True,True,one model,2,"Fair value is defined in terms of market participants, and market participants is defined in terms of the market for the asset or liability being measured at fair value, creating a mutually dependent pair of definitions."
fed-funds-effective-rate-overnight-index-swap-rate,Fed Funds Effective Rate Overnight Index Swap Rate,HOMONYM,True,True,True,both models,2,"A second entry displayed under the same name has a nearly identical definition, differing only by the parenthetical. This current entry does not itself say that the other entry is the superseded version. The other entry is marked as superseded, so the practical risk of confusion is low."
fed-funds-effective-swap-rate-or-overnight-index-swap-rate,Fed Funds Effective Rate Overnight Index Swap Rate,HOMONYM,True,True,True,both models,2,This entry is displayed under the same name as the current entry and gives a slightly different definition. It indicates only through the transition text which one applies.
fed-funds-effective-swap-rate-or-overnight-index-swap-rate,Fed Funds Effective Rate Overnight Index Swap Rate,STALE,True,True,True,both models,3,"This entry is the pre-ASU 2018-16 version of the term, which has since been renamed and redefined. It remains in the glossary only as superseded text."
fed-funds-effective-swap-rate-or-overnight-index-swap-rate,Fed Funds Effective Rate Overnight Index Swap Rate,PENDING,True,True,True,both models,2,The entry concatenates a current definition with a pending status stating that the term is superseded. A reader cannot tell from the entry alone which version applies.
fees,fees,POINTER,True,True,True,both models,2,"The entry defines nothing and only refers the reader to another term. It does not specify which Compensation entry is meant, although the glossary uses that term in several contexts; in the NFP joint-activity context the relevant one is compensation or fees paid to parties performing activities."
financial-guarantee-reinsurance-contract,financial guarantee reinsurance contracts,POINTER,True,True,True,both models,2,"The entry defines nothing. It only refers to the insurance-contract entry, which exists (so the DANGLING flag is a false positive). That target describes a contract issued by an insurance entity to the holder of an obligation and does not say how it applies to reinsurance, so the reader must infer the meaning."
financial-instrument,Financial Instrument,NONAUTH,True,True,True,both models,2,"The current version relies on a Concepts Statement, which is nonauthoritative under Topic 105."
financial-instrument,Financial Instrument,PENDING,True,True,True,both models,2,"A current and a pending version are concatenated, and they differ: the pending text removes the Concepts Statement 6 reference and changes 'All' to 'Some'."
firm-purchase-commitment,Firm Purchase Commitment,HOMONYM,False,True,False,one model,1,"The definition overlaps substantially with the separate 'firm commitment' entry, which uses nearly identical language; neither entry clarifies how the two terms differ or where each applies, risking confusion between 'firm commitment' and 'firm purchase commitment.'"
fixed-price-contracts,fixed-price contract,CIRC,False,True,True,one model,1,"The entry lists several variant terms (e.g., Firm Fixed-Price Contract) and is itself the target of a 'See Fixed-Price Contracts' pointer from 'lump-sum contract,' but understanding the core definition does not require resolving those cross-references, so the mutual reference is superficial rather than truly circular."
fixed-price-contracts,fixed-price contract,STALE,True,False,False,one model,1,"The cross-referenced contract variations belong to the Subtopic 605-35 contractor revenue vocabulary, most of which was superseded by Topic 606. The core definition remains usable. The CIRC flag with 'lump-sum contract' is a false positive: that entry only points here, and this definition does not need it to be understood."
flat-benefit-formula,flat-benefit plans,MALFORMED,True,False,False,one model,1,"The entry is keyed and worded as a definition of a flat-benefit formula, but the displayed term is 'flat-benefit plans'. The plan is defined only secondarily, as a plan with such a formula."
foreign-activities,foreign activities,POINTER,True,True,True,both models,2,"The entry defines nothing itself and only refers to the SEC rule text. The target paragraph exists (its text is quoted in the linked paragraph 235-942-S99-1), so the DANGLING flag is a false positive."
foreign-currency,foreign currency,CIRC,True,True,True,both models,2,"The cycle with foreign entity, reporting currency and reporting entity runs only through an illustrative parenthetical. The core definition rests on functional currency and does not require the partner entries to be understood."
foreign-currency-transactions,foreign currency transactions,CIRC,True,True,True,both models,2,"The entry depends on foreign currency, which links back into the cluster only through an example. This mutual reference is formal and does not block understanding."
foreign-entity,foreign entity,CIRC,True,True,True,both models,2,"The entry is part of a detected cycle with reporting entity and foreign currency. The dependencies it actually needs (reporting currency, reporting entity) do not require foreign entity to be understood, so the cycle is only nominal."
forgivable-loan,Forgivable Loan,PENDING,False,True,True,one model,1,"Current (P) and pending (N) transition dates are embedded together in the entry text, though the substantive definition of the term itself does not otherwise differ between versions."
forgivable-loan,Forgivable Loan,MALFORMED,False,True,False,one model,2,"The transition-date metadata and paragraph citation are concatenated directly into the definition sentence, producing a garbled, ungrammatical entry ('...2029 [transition paragraph 832-10-65-2A] loan for which...') rather than a clean definition of the term."
forward-commitment-dollar-roll,forward commitment dollar rolls,POINTER,True,True,True,both models,2,"The entry only redirects to another glossary term. The target term is a Master Glossary entry, so the DANGLING flag appears to be a false positive."
forward-commitment-dollar-roll,forward commitment dollar rolls,DANGLING,False,True,True,one model,3,"No glossary entry named 'Government National Mortgage Association Rolls' (or GNMA Rolls) appears among the audited entries, so the pointer target cannot be confirmed to exist, leaving the term effectively undefined as written."
front-end-fees,front-end fee,POINTER,True,True,True,both models,2,The entry defines nothing itself and only redirects the reader to the combined entry for initiation or front-end fees. This is harmless if that target entry exists.
fully-insured-experience-rated-arrangement,fully insured experience-rated arrangements,DANGLING,False,True,True,one model,2,"The definition cites paragraph 965-30-25-5, but the subtopic numbering (965-30 vs. the surrounding 965-310 references) appears inconsistent, suggesting the cited paragraph does not exist as written or is a mis-cite to 965-310-25-5, leaving the pointer unresolvable as stated."
funds-functioning-as-endowment,Funds Functioning as Endowment,CIRC,True,True,True,both models,2,"This entry sits in a cycle with endowment fund, board-designated endowment fund and donor-restricted endowment fund. Its core meaning is still self-contained: net assets without donor restrictions that the governing board designates for investment. The cross-references mostly name synonyms, so a reader does not need the other entries to apply this one. The cycle is cosmetic."
gain-or-loss,Gain or Loss,CIRC,True,True,True,both models,2,"This entry refers to net periodic pension and postretirement benefit cost, and those entries list gains and losses as components. The core definition (the change in obligation or plan assets) can still be understood without them, so the cycle is minor."
gain-or-loss,Gain or Loss,HOMONYM,True,True,True,both models,2,Another entry is also titled 'Gain or loss' but defines the net periodic cost component. Neither entry says where each definition applies.
gain-or-loss-component-of-net-periodic-pension-cost,Gain or loss,CIRC,True,True,True,both models,2,"The component is defined by reference to net periodic pension cost, and net periodic pension cost is itself defined as including this gain or loss component. Understanding either requires the other."
gain-or-loss-component-of-net-periodic-pension-cost,Gain or loss,HOMONYM,True,True,True,both models,2,"It shares its name with the general 'Gain or Loss' entry but gives a different definition, and it does not state its scope."
gain-or-loss-component-of-net-periodic-pension-cost,Gain or loss,MALFORMED,True,False,False,one model,2,"The entry name is 'Gain or loss', but the text defines the gain or loss component of net periodic pension cost. The second sentence is also garbled: 'in determining net periodic pension cost (the net change in the gain or loss) in accumulated other comprehensive income'."
gains-and-losses-included-in-comprehensive-income-but-excluded-from-net-income,Gains and Losses Included in Comprehensive Income but Excluded from Net Income,SELF,False,True,False,one model,1,The definition opens by restating the term itself before providing substantive content; minor stylistic tautology but not content-free overall.
gains-and-losses-included-in-comprehensive-income-but-excluded-from-net-income,Gains and Losses Included in Comprehensive Income but Excluded from Net Income,STALE,True,False,False,one model,2,"The list reflects superseded guidance (the FAS 12 era). Current GAAP no longer reports fair value changes of equity securities in other comprehensive income, and the reference to 'industries having specialized accounting practices for marketable securities' is likewise outdated."
government-grant,Government Grant,PENDING,True,True,True,both models,2,"The entry is pending-effective text carrying embedded transition dates. A reader may not realize the definition is not yet effective for all entities. The DANGLING flag is likely a false positive, because the transition paragraph comes from a recent update."
government-grant,Government Grant,MALFORMED,False,True,False,one model,2,"The entry text splices transition effective dates and a paragraph citation directly into the middle of the definitional sentence, producing a garbled, unreadable definition rather than a clean current/pending split."
government-national-mortgage-association,Government National Mortgage Association,CIRC,False,True,True,one model,1,"GNMA is cited only as an example within the mortgage-backed securities definition, and understanding GNMA does not require that definition; this is a weak, non-substantive cycle."
guaranteed-minimum-accumulation-benefit,guaranteed minimum accumulation benefit,SELF,True,False,False,one model,2,"The term is defined mainly by repeating itself without the word 'guaranteed'. The only added content is that the benefit is available in cash. The alternative, 'guaranteed account value floor', carries most of the meaning but is not explained."
guaranteed-minimum-accumulation-benefit,guaranteed minimum accumulation benefit,UNDEF,True,False,False,one model,2,"The core concepts, 'minimum accumulation benefit' and 'guaranteed account value floor', are not defined by any glossary entry, so the reader has to infer their meaning from practice."
hazardous-substance,hazardous substance,NONAUTH,False,True,False,one model,2,"The definition relies entirely on external federal environmental statutes (CERCLA, Clean Water Act, RCRA, Clean Air Act, TSCA) rather than authoritative GAAP sources."
hazardous-waste,hazardous waste,NONAUTH,False,True,False,one model,2,The definition is drawn directly from a federal statute and regulation rather than GAAP.
hazardous-waste-constituent,hazardous waste constituents,NONAUTH,False,True,False,one model,2,Depends on external statutory/regulatory text rather than GAAP for its meaning.
hazardous-waste-constituent,hazardous waste constituents,UNDEF,False,True,False,one model,1,"Depends on the term 'hazardous waste', which itself is only defined via external law rather than GAAP, creating a chain of non-GAAP dependency."
hazardous-waste-constituent,hazardous waste constituents,MALFORMED,True,False,False,one model,1,The entry name is plural while the definition defines a singular 'constituent'. This is a minor cosmetic mismatch.
high-yield-debt-securities,high-yield debt securities,CIRC,False,True,True,one model,1,"The cross-reference to 'junk bonds' is a synonym pointer, not a substantive circular dependency; understanding high-yield debt securities does not require the junk bonds entry, so this is a false-positive flag rather than a genuine circularity."
homeowners-association,homeowners association,POINTER,True,True,True,both models,2,"The entry defines nothing itself. It only refers the reader to the Association entry, which carries the definition."
hybrid-instrument,hybrid instrument,UNDEF,True,False,False,one model,1,'Host contract' has no Master Glossary entry. Its meaning must be inferred from Subtopic 815-15 guidance.
immediate-family,immediate family,NONAUTH,False,True,False,one model,2,"The substantive definition is sourced from an SEC regulation rather than from FASB's own authoritative GAAP text, though it is referenced through an S99 paragraph."
immediate-family,immediate family,POINTER,True,True,True,both models,2,"The entry gives no definition and only refers the reader to SEC material. The target paragraph appears among the linking sources, so the DANGLING flag looks like a false positive."
immediate-family,immediate family,INCONS,True,False,False,one model,2,"The entry limits itself to Rule 9-03, yet it is linked from the related party guidance in 850-10-05-3. That use gets no applicable definition from this entry."
impaired-claims,impaired claims,MALFORMED,True,False,False,one model,1,The entry is named 'impaired claims' but opens with procedural narrative and defines only when a class is not impaired. The meaning of 'impaired' has to be inferred by negation.
impairment,Impairment,INCONS,True,False,False,one model,2,"The definition is tied to long-lived assets and does not state its scope. The Codification also uses 'impairment' for goodwill, reporting units, and financial assets, and Topic 360 adds a recoverability test before a loss is recognized."
implicit-service-period,implicit,MALFORMED,True,True,False,both models,2,"The entry name 'implicit' does not match the term actually defined, 'implicit service period'."
in-substance-defeasance,in-substance defeasance,STALE,True,False,False,one model,1,"The term survives mainly as a legacy concept tied to superseded pre-Codification guidance, although the definition itself remains usable."
in-substance-nonfinancial-asset,In Substance Nonfinancial Asset,POINTER,True,True,True,both models,2,The entry defines nothing itself and only refers the reader to scope paragraphs in Subtopic 610-20.
income-from-continuing-operations,Income from Continuing Operations,STALE,True,False,False,one model,1,"The definition excludes the cumulative effect of accounting changes. That is a reporting item from pre-Codification guidance, replaced by retrospective application under Topic 250. The exclusion list is therefore partly obsolete, although the definition can still be applied within Topic 255."
income-taxes-currently-payable-refundable,income taxes currently payable,POINTER,True,True,True,both models,2,"The entry defines nothing itself and only redirects the reader to another term. The target term Current Tax Expense (or Benefit) is an existing glossary entry, so the DANGLING flag is a false positive."
incurred-claims-cost-by-age,incurred claims cost,UNDEF,False,True,False,one model,1,"The definition points to a related term, Net Incurred Claims Cost (By Age), whose existence and definition are not confirmed among the provided glossary entries."
incurred-claims-cost-by-age,incurred claims cost,MALFORMED,False,True,False,one model,2,"The entry slug appends '-by-age' but the displayed term name is simply 'incurred claims cost', creating a mismatch between the entry key and the defined term."
incurred-cost,incurred cost,MALFORMED,True,False,False,one model,1,"The comma splice leaves unclear whether a sustained loss is a second, alternative kind of incurred cost or an apposition to the first clause. The intended meaning (either) can still be inferred."
infrequency-of-occurrence,Infrequency of Occurrence,MALFORMED,True,False,False,one model,1,"The entry is worded as a criterion (""should be"") rather than as a definition of the noun phrase ""infrequency of occurrence"". The meaning is still clear."
insurance-contract,insurance contracts,SCOPECONF,False,True,False,one model,2,"This definition is tailored to the pension/postretirement benefit context (transfer of risk from the employer or plan) but the term 'insurance contracts' is used more broadly elsewhere in the Codification (e.g., Topic 944 long-duration insurance contracts) without the entry noting the narrower scope."
insurance-policy,insurance policy,INCONS,False,True,False,one model,1,"The entry itself flags inconsistency in usage, which is a minor caveat but does not rise to a defect that prevents application since it directs the reader to consider economic substance."
integrated-contract-feature,integrated contract features,INCONS,True,False,False,one model,1,"Paragraph 944-30-35-30 states a narrower test for long-duration contracts, tied to the account value or other contract holder balances. The glossary refers only to 'the base contract', so the two wordings differ slightly."
interest-cost,Interest Cost,HOMONYM,True,True,True,both models,2,"This entry shares its name with the pension and postretirement 'Interest cost' entries, which have entirely different meanings. It does not state that it applies to interest capitalization under Subtopic 835-20."
interest-cost-component-of-net-periodic-pension-cost,Interest cost,HOMONYM,True,True,True,both models,2,"At least three glossary entries are named 'Interest cost': pension, postretirement, and capitalized or imputed interest under 835. They have different definitions, and this entry does not state that it applies to defined benefit pension plans. Its scope can only be inferred from the reference to the projected benefit obligation."
interest-cost-component-of-net-periodic-postretirement-benefit-cost,Interest cost,HOMONYM,True,True,True,both models,2,"Three glossary entries are named 'Interest cost': postretirement (APBO), pension (PBO) and capitalization of interest (835-20). The entry text does not say that it applies only to Subtopic 715-60."
interest-method,interest method,INCONS,True,False,False,one model,1,"The definition is written from the debtor's perspective (interest cost on debt). Linking paragraphs apply the method to interest income on investments, such as 320-946-35-10 on PIK bonds, and to amortizing intangibles."
interinsurance-exchange,interinsurance exchange,POINTER,True,True,True,both models,1,"The entry defines nothing and only refers the reader to the Reciprocal Exchange entry. That target exists in the glossary, so the pointer resolves."
intermediary,intermediary,SCOPECONF,True,False,False,one model,1,The entry itself says that its meaning is narrower than the broader usage of the word. It does not state which Topic 'this usage' covers (the not-for-profit transfers guidance in 958).
intermediate-life-plants,intermediate-life plants,UNDEF,True,False,False,one model,1,"The upper bound of the definition depends on the growth and production cycles of 'trees and vines'. No entry defines those cycles, which leaves the boundary vague."
interval,interval,INCONS,True,False,False,one model,2,"The entry equates a period of occupancy with a time-sharing interest. The Codification uses these as alternatives, for example 330-978-05-1: 'time-sharing interests or intervals'. A time-sharing interest is a broader ownership or use right, not merely a period."
inventory,Inventory,NONAUTH,True,False,False,one model,1,"Part of the definition's scope rests on trade practice rather than on authoritative criteria. The core definition stands on its own, so this is minor."
issuance-of-financial-statements,Issuance of Financial Statements,POINTER,True,True,True,both models,2,"The entry defines nothing and only refers the reader to an SEC staff announcement paragraph. The target paragraph exists, so the pointer is not dangling."
joint-and-several-liability,joint and several,MALFORMED,False,True,False,one model,1,"The glossary term as listed ('joint and several') differs from the more common phrase 'joint and several liability' used in the slug and body of the definition, though the meaning is clear and the mismatch is minor."
joint-control,joint control,MALFORMED,True,False,False,one model,2,"The definition is a sentence fragment with no stated subject. It does not say whose financing, development, sale or operations are meant, or which owners. The implied context is undivided interests in real property (323-970). The entry does not state that limit, so a reader must guess how it applies elsewhere."
joint-venture,Joint Venture,CIRC,False,True,True,one model,2,"The entry explicitly cross-references 'corporate joint venture,' whose own definition ('A corporation owned and operated by a small group of entities (the joint venturers) as a separate and specific business or project...') mirrors this entry almost verbatim, creating a mutual dependency where each term is defined largely in terms of the other rather than independently."
junk-bonds,junk bonds,POINTER,True,True,True,both models,1,"The entry defines nothing and only points to a synonym. The target exists and is not superseded. The detected cycle is a false positive, because the high-yield debt securities definition does not depend on 'junk bonds'."
land-development-costs,Land Development Costs,CIRC,False,True,True,one model,1,"The 'permanent land development costs' entry points back to this entry, forming a nominal two-node cycle, but since it is merely a subordinate term already defined within this entry's text, understanding this entry does not actually depend on reading the other, making this a low-severity, largely cosmetic circularity flag."
land-development-costs,Land Development Costs,MALFORMED,True,False,False,one model,1,"The entry classifies the costs rather than defining the term, and it refers to 'land improvement and development costs' rather than the entry name. The flagged cycle is a false positive: this entry defines permanent costs inline and does not rely on the 'permanent land development costs' pointer entry."
lattice-model,lattice model,CIRC,False,True,True,one model,2,"Lattice model's definition depends on Closed-Form Model to explain key terms, and Closed-Form Model in turn contrasts itself with lattice model, forming a mutual dependency that requires reading both entries together to understand either."
lead-interest,Lead Interest,CIRC,True,True,True,both models,2,"Lead interest is defined by reference to split-interest agreement, whose definition describes a typical agreement as having a lead interest and a remainder interest. The core definition of split-interest agreement stands without those components, so the mutual reference is cosmetic."
lease-payments,Lease Payments,POINTER,True,True,True,both models,2,"The entry defines nothing itself and only refers the reader to an authoritative paragraph. The target exists in Topic 842, so the definition can still be applied."
leveraged-lease,Leveraged Lease,STALE,True,True,False,both models,2,"The entry defines the term only by reference to superseded lease guidance (former Topic 840). The classification criteria are no longer in current authoritative text, so a reader must consult superseded guidance to understand what qualifies."
leveraged-lease,Leveraged Lease,UNDEF,True,False,False,one model,1,'Effective date' is not defined in the entry and is not a glossary term. The reader must infer that it means the effective date of Topic 842.
liability-issued-with-an-inseparable-third-party-credit-enhancement,Liability Issued with an Inseparable Third-Party Credit Enhancement,MALFORMED,True,False,False,one model,1,"The entry name turns on the enhancement being 'inseparable', but the definition never explains what makes it inseparable. The name is therefore not fully matched by the text."
libor-swap-rate,LIBOR Swap Rate,POINTER,True,True,True,both models,2,"The entry defines nothing and only redirects to another glossary term. The target entry exists in the Master Glossary, so the detector's DANGLING flag is not confirmed."
libor-swap-rate,LIBOR Swap Rate,STALE,True,False,False,one model,1,LIBOR ceased publication in 2023. The term remains in the Codification as a benchmark rate but refers to a discontinued rate.
license-agreement,License Agreement,HOMONYM,True,False,False,one model,2,"The broadcasting definition (Topic 920) and the music-industry entry 'licensing agreement' (Topic 928, whose text defines 'License agreements') define the same term differently. Neither entry says where each definition applies."
license-agreements,licensing agreement,HOMONYM,True,False,False,one model,2,"This entry defines 'license agreements' for record masters and music copyrights. That conflicts with the broadcasting 'License Agreement' entry, and neither entry states its scope. Paragraph 340-928-35-3 uses 'license agreement', and this entry is the one linked to it."
license-agreements,licensing agreement,MALFORMED,False,True,False,one model,1,"The entry slug and term name (license-agreements / licensing agreement) are inconsistent with each other, though the definition content itself is coherent."
life-annuity-and-health-insurance-entities,"life, annuity, and health insurance entities",HOMONYM,False,True,False,one model,1,"This definition is nearly identical to the separate 'life insurance entity' entry, creating overlapping near-duplicate terms without cross-reference clarifying the distinction."
life-annuity-and-health-insurance-entities,"life, annuity, and health insurance entities",MALFORMED,True,False,False,one model,1,"The term is 'life, annuity, and health insurance entities', but the text defines 'An entity' and then refers to 'Life and health insurance entities'. The wording does not match the entry name, although the meaning is clear."
limited-life-land-development-costs,Limited Life Land Development Costs,POINTER,True,True,True,both models,2,The entry defines nothing and only sends the reader to another term. The 'limited-life' distinction used in 360-905-25-3 is left unexplained in this entry.
liquidity,liquidity,MALFORMED,False,True,False,one model,1,"The core definition of liquidity as 'nearness to cash' is immediately followed by NFP-specific commentary on donor restrictions that is only tangentially related, making the entry read as two different ideas spliced together rather than a single coherent definition."
loan-origination-fees,loan origination fees,HOMONYM,True,False,False,one model,2,"Two different definitions of loan origination fees (an itemized list of origination fees, then a general definition covering refinancing, restructuring and leasing) are run together. Neither says which Topic or context it applies to."
london-interbank-offered-rate-swap-rate,London Interbank Offered Rate (LIBOR),STALE,True,True,True,both models,3,"The term has been superseded, so the definition no longer reflects current guidance."
